Liczba statków po wp³yniêciu do kana³u;Œredni czas oczekiwania na wp³yniêcie
959;128.69
960;128.556
961;128.571
962;128.437
963;128.354
964;128.274
965;128.169
966;128.067
967;127.947
968;127.816
969;127.8
970;127.676
971;127.553
972;127.422
973;127.323
974;127.194
975;127.068
976;126.946
977;126.826
978;126.887
979;126.921
980;126.934
981;127.023
982;127.012
983;127.11
984;127.108
985;127.005
986;126.905
987;126.79
988;126.662
989;126.741
990;126.613
991;126.485
992;126.357
993;126.23
994;126.119
995;125.992
996;126.158
997;126.254
998;126.349
999;126.223
1000;126.211
1001;126.093
1002;125.989
1003;125.864
1004;125.853
1005;125.728
1006;125.628
1007;125.532
1008;125.426
1009;125.327
1010;125.213
1011;125.097
1012;125.132
1013;125.145
1014;125.024
1015;124.901
1016;124.778
1017;124.66
1018;124.543
1019;124.582
1020;124.461
1021;124.339
1022;124.221
1023;124.1
1024;124.083
1025;124.111
1026;124.22
1027;124.147
1028;124.177
1029;124.144
1030;124.044
1031;123.938
1032;123.855
1033;123.773
1034;123.662
1035;123.6
1036;123.481
1037;123.367
1038;123.252
1039;123.146
1040;123.028
1041;123.061
1042;122.943
1043;122.98
1044;122.862
1045;122.744
1046;122.627
1047;122.518
1048;122.566
1049;122.472
1050;122.366
1051;122.337
1052;122.234
1053;122.118
1054;122.002
1055;121.886
1056;121.773
1057;121.658
1058;121.543
1059;121.429
1060;121.408
1061;121.306
1062;121.194
1063;121.08
1064;120.966
1065;120.852
1066;120.887
1067;120.782
1068;120.818
1069;120.867
1070;120.773
1071;120.679
1072;120.571
1073;120.459
1074;120.348
1075;120.236
1076;120.191
1077;120.091
1078;120.012
1079;119.902
1080;119.791
1081;119.693
1082;119.598
1083;119.503
1084;119.466
1085;119.382
1086;119.272
1087;119.162
1088;119.053
1089;119.021
1090;118.912
1091;118.803
1092;118.701
1093;118.592
1094;118.484
1095;118.376
1096;118.268
1097;118.165
1098;118.062
1099;117.961
1100;117.854
1101;117.748
1102;117.642
1103;117.541
1104;117.435
1105;117.357
1106;117.259
1107;117.156
1108;117.051
1109;116.957
1110;116.851
1111;116.746
1112;116.641
1113;116.536
1114;116.432
1115;116.327
1116;116.223
1117;116.119
1118;116.015
1119;115.911
1120;115.808
1121;115.705
1122;115.604
1123;115.502
1124;115.413
1125;115.311
1126;115.211
1127;115.109
1128;115.007
1129;114.905
1130;114.803
1131;114.817
1132;114.793
1133;114.772
1134;114.671
1135;114.666
1136;114.581
1137;114.494
1138;114.505
1139;114.469
1140;114.38
1141;114.28
1142;114.18
1143;114.08
1144;113.981
1145;113.881
1146;113.782
1147;113.688
1148;113.733
1149;113.656
1150;113.701
1151;113.616
1152;113.653
1153;113.695
1154;113.692
1155;113.645
1156;113.547
1157;113.449
1158;113.351
1159;113.253
1160;113.155
1161;113.058
1162;112.961
1163;112.864
1164;112.882
1165;112.873
1166;112.776
1167;112.693
1168;112.607
1169;112.511
1170;112.425
1171;112.329
1172;112.234
1173;112.138
1174;112.042
1175;111.947
1176;111.852
1177;111.757
1178;111.662
1179;111.645
1180;111.56
1181;111.547
1182;111.467
1183;111.389
1184;111.295
1185;111.204
1186;111.111
1187;111.128
1188;111.036
1189;110.944
1190;110.86
1191;110.767
1192;110.68
1193;110.587
1194;110.519
1195;110.436
1196;110.358
1197;110.27
1198;110.181
1199;110.09
1200;109.999
1201;109.908
1202;109.822
1203;109.732
1204;109.641
1205;109.55
1206;109.468
1207;109.378
1208;109.287
1209;109.197
1210;109.107
1211;109.016
1212;108.927
1213;108.837
1214;108.758
1215;108.67
1216;108.585
1217;108.501
1218;108.412
1219;108.323
1220;108.234
1221;108.145
1222;108.057
1223;107.969
1224;107.884
1225;107.796
1226;107.709
1227;107.621
1228;107.534
1229;107.479
